url,title,source,sentiment,confidence,article_type,published_date,financial_relevance,credibility_score,fact_check_score
"https://www.bloomberg.com/news/videos/2025-07-07/brics-leaders-condemn-us-israel-attacks-on-iran-video","BRICS Leaders Condemn US, Israel Attacks on Iran","Bloomberg","neutral",,"general","2025-07-07T01:18:59",,90,80
"https://www.bloomberg.com/news/articles/2025-07-06/asia-eyes-cautious-open-on-tariff-deals-oil-falls-markets-wrap","Asian Shares Decline on Trade Angst, Oil Falls: Markets Wrap","Bloomberg","negative",1.0,"financial","2025-07-06T22:49:10",True,90,85
"https://www.bloomberg.com/news/articles/2025-07-04/uniqlo-owner-seven-i-to-set-tone-for-japan-s-consumer-sector","Uniqlo Owner, Seven &amp; i To Set Tone for Japan’s Consumer Sector","Bloomberg","neutral",,"general","2025-07-04T02:10:38",,90,65
"https://www.bloomberg.com/news/videos/2025-07-07/us-trading-partners-chase-deals-ahead-of-deadline-video","US Trading Partners Chase Deals Ahead of Deadline","Bloomberg","neutral",,"general","2025-07-07T00:54:35",,90,80
"https://www.bloomberg.com/news/articles/2025-07-07/gold-eases-lower-as-traders-seek-clarity-on-us-trade-deal-talks","Gold Declines as Traders Seek Clarity on US Trade Deal Talks","Bloomberg","neutral",,"general","2025-07-07T00:18:47",,90,80
"https://www.bloomberg.com/news/articles/2025-07-06/latest-oil-market-news-and-analysis-for-july-7","Oil Drops as Larger OPEC+ Supply Increase Raises Glut Concerns","Bloomberg","neutral",,"general","2025-07-06T22:03:50",,90,85
"https://www.bloomberg.com/news/articles/2025-07-06/taiwan-stock-etfs-lead-inflows-in-asia-with-19-billion-haul","Taiwan Stock ETFs Lead Inflows in Asia With $19 Billion Haul","Bloomberg","neutral",,"general","2025-07-06T23:00:00",True,90,80
"https://www.bloomberg.com/news/articles/2025-07-06/lutnick-says-trump-s-tariffs-will-take-effect-on-august-1","Lutnick Says Trump’s Tariffs Will Take Effect on Aug. 1","Bloomberg","neutral",,"general","2025-07-06T21:43:08",,90,85
"https://www.bloomberg.com/news/articles/2025-07-06/us-brazil-try-to-seal-tariff-deal-before-trump-s-deadline-uol","US, Brazil Try to Seal Tariff Deal Before Trump’s Deadline: Uol","Bloomberg","neutral",,"general","2025-07-06T21:25:07",,90,80
"https://www.bloomberg.com/news/articles/2025-07-06/decade-old-local-currency-push-by-brics-is-still-a-pipe-dream","Decade-Old Local Currency Push by BRICS Is Still A Pipe Dream","Bloomberg","neutral",,"general","2025-07-06T21:01:07",,90,70
"https://www.marketwatch.com/story/elon-musk-in-a-post-on-x-says-some-of-his-trump-posts-went-too-far-and-that-he-regrets-them-90e73a6a?mod=mw_rss_realtimeheadlines","Elon Musk in a post on X says some of his Trump posts ‘went too far’ and that he regrets them","Unknown Source","neutral",,"general","2025-06-11T07:09:00",,50,50
"https://www.marketwatch.com/story/bank-of-england-decision-on-thursday-will-be-at-12-02-p-m-local-time-instead-of-12-p-m-due-to-ve-day-two-minutes-of-silence-1f6bed66?mod=mw_rss_realtimeheadlines","Bank of England decision on Thursday will be at 12:02 p.m. local time instead of 12 p.m., due to VE Day’s two minutes of silence","Unknown Source","neutral",,"general","2025-05-06T11:59:00",,50,50
"https://www.marketwatch.com/story/swiss-national-bank-cuts-interest-rates-by-a-half-point-to-0-5-ed1fce78?mod=mw_rss_realtimeheadlines","Swiss National Bank cuts interest rates by a half point to 0.5%","Unknown Source","neutral",,"financial","2024-12-12T08:32:00",True,50,50
"https://www.marketwatch.com/story/dollar-jumps-0-5-to-0-8890-francs-047c6b4d?mod=mw_rss_realtimeheadlines","Dollar jumps 0.5% to 0.8890 francs","Unknown Source","neutral",,"general","2024-12-12T08:32:00",,50,50
"https://www.marketwatch.com/story/germany-flash-manufacturing-pmi-rises-to-4-month-high-of-43-2-b9e50a64?mod=mw_rss_realtimeheadlines","Germany flash manufacturing PMI rises to 4-month high of 43.2","Unknown Source","neutral",,"general","2024-11-22T08:34:00",,50,50
"https://www.marketwatch.com/story/germany-flash-services-pmi-falls-to-9-month-low-of-49-4-5e5d2763?mod=mw_rss_realtimeheadlines","Germany flash services PMI falls to 9-month low of 49.4","Unknown Source","neutral",,"general","2024-11-22T08:34:00",,50,50
"https://www.marketwatch.com/story/powell-says-labor-market-not-a-source-of-significant-inflation-pressure-cc3b1297?mod=mw_rss_realtimeheadlines","Powell says labor market not a source of significant inflation pressure","Unknown Source","neutral",,"general","2024-07-31T18:48:00",True,50,50
"https://www.marketwatch.com/story/feds-powell-says-rate-cut-on-the-table-as-soon-as-september-f3f7c8f2?mod=mw_rss_realtimeheadlines","Fed’s Powell says rate cut ‘on the table’ as soon as September","Unknown Source","neutral",,"general","2024-07-31T18:41:00",True,50,50
"https://www.marketwatch.com/story/final-s-p-u-s-manufacturing-index-is-52-2-in-february-vs-initial-51-5-180b7107?mod=mw_rss_realtimeheadlines","Final S&P U.S. manufacturing index is 52.2 in February vs. initial 51.5","Unknown Source","neutral",,"general","2024-03-01T14:47:00",,50,50
"https://www.marketwatch.com/story/duolingo-started-at-buy-with-222-price-target-at-seaport-f762126a?mod=mw_rss_realtimeheadlines","Duolingo started at buy with $222 price target at Seaport","Unknown Source","neutral",,"general","2024-02-27T12:40:00",,50,50
"https://cointelegraph.com/news/ton-coin-dips-after-uae-visa-clarification?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","TON coin dips 6% after UAE authorities deny golden visa claim","Unknown Source","positive",1.0,"crypto","2025-07-07T01:30:02",True,50,75
"https://cointelegraph.com/news/toncoin-uae-golden-visa-staking-offer?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","Update: UAE Denies TON golden visa claim","Unknown Source","negative",0.3333333333333333,"crypto","2025-07-06T23:06:01",True,50,65
"https://cointelegraph.com/news/what-happened-in-crypto-today?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","Here’s what happened in crypto today","Unknown Source","neutral",,"crypto","2025-07-06T19:29:27",True,50,75
"https://cointelegraph.com/news/cz-questions-ton-uae-golden-visa-crypto-residency?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","‘Is this real?’ CZ questions TON’s UAE Golden Visa as gov’t sources stay silent","Unknown Source","positive",1.0,"crypto","2025-07-06T19:20:04",True,50,65
"https://cointelegraph.com/news/vc-roundup-june-crypto-funding-rails-ai-defi?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","VC Roundup: DeFi, AI, hybrid exchanges showcase resilient month for crypto","Unknown Source","positive",1.0,"crypto","2025-07-06T17:50:47",True,50,75
"https://cointelegraph.com/news/crypto-high-growth-markets-with-or-without-the-us?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","Crypto adoption will be driven by high-growth markets, with or without the US","Unknown Source","positive",0.3333333333333333,"crypto","2025-07-06T15:00:00",True,50,65
"https://cointelegraph.com/news/bitcoin-cup-and-handle-breakout-230k-target-sol-2800-gain?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","Bitcoin &#039;cup and handle&#039; breakout gives $230K target as SOL eyes 2800% gain","Unknown Source","positive",1.0,"crypto","2025-07-06T13:20:25",True,50,65
"https://cointelegraph.com/news/vitalik-ethereum-gas-cap-eip-7983?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","Vitalik proposes gas cap to enhance Ethereum security, stability","Unknown Source","negative",1.0,"crypto","2025-07-06T12:56:10",True,50,65
"https://cointelegraph.com/news/secret-service-seizes-400m-crypto-cold-wallet?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","Secret Service seizes $400M in crypto, cold wallet among world’s largest","Unknown Source","neutral",,"crypto","2025-07-06T06:58:12",True,50,75
"https://cointelegraph.com/news/bitcoin-whale-transfer-not-sell-off-says-arkham-blockchain-intelligence?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound","$8.6B Bitcoin whale transfer shows no signs of sell-off: Arkham","Unknown Source","neutral",,"crypto","2025-07-06T06:05:32",True,50,75
"https://www.coindesk.com/markets/2025/07/06/ton-surges-on-uae-golden-visa-news-crypto-community-reacts-with-excitement-and-doubt","TON Surges on UAE Golden Visa News; Crypto Community Reacts With Excitement and Doubt","Unknown Source","positive",0.7142857142857143,"crypto","2025-07-06T16:33:56",True,50,65
"https://www.coindesk.com/markets/2025/07/06/btc-doge-xrp-rise-as-bessent-hints-at-trade-deals-before-liberation-day-tariff-deadline","Bitcoin, Dogecoin, XRP Rise as Bessent Hints at Trade Deals Before Liberation Day Tariff Deadline","Unknown Source","positive",0.42857142857142855,"crypto","2025-07-06T16:08:30",True,50,75
"https://www.coindesk.com/markets/2025/07/06/bitcoin-s-mempool-nearly-empty-as-prices-trade-near-lifetime-highs","Bitcoin's 'Mempool' Nearly Empty as Prices Trade Near Lifetime Highs","Unknown Source","positive",0.42857142857142855,"crypto","2025-07-06T13:55:25",True,50,75
"https://www.coindesk.com/markets/2025/07/06/chart-of-the-week-wall-street-has-claimed-bitcoin-now-what","Chart of the Week: Wall Street Has Claimed Bitcoin—Now What?","Unknown Source","positive",0.6666666666666666,"crypto","2025-07-06T13:00:00",True,50,75
"https://www.coindesk.com/markets/2025/07/05/ethereum-touted-as-foundational-layer-for-global-finance-by-firm-with-usd500m-eth-bet","Ethereum Touted as ‘Foundational Layer for Global Finance’ by Firm With $500M ETH Bet","Unknown Source","positive",0.6,"crypto","2025-07-05T21:40:49",True,50,75
"https://www.coindesk.com/policy/2025/07/05/crypto-cash-and-condos-singapore-ends-22b-laundering-case-with-fines","Crypto, Cash, and Condos: Singapore Ends $2.2B Laundering Case With Fines","Unknown Source","positive",0.6666666666666666,"crypto","2025-07-05T17:51:11",True,50,65
"https://www.coindesk.com/markets/2025/07/05/bitcoin-cash-rally-accelerates-on-whale-activity-and-bullish-technical-signals","Bitcoin Cash Rally Accelerates on Whale Activity and Bullish Technical Signals","Unknown Source","positive",0.5555555555555556,"crypto","2025-07-05T17:27:45",True,50,65
"https://www.coindesk.com/markets/2025/07/05/the-u-s-exceptionalism-is-alive-and-well-as-nasdaq-outperforms-global-peers-macro-markets","U.S. Exceptionalism Is Alive and Well as Nasdaq Outperforms Global Peers: Macro Markets","Unknown Source","positive",0.8,"crypto","2025-07-05T17:18:10",True,50,75
"https://www.coindesk.com/web3/2025/07/05/drake-compares-fake-friends-to-bitcoins-volatility-down-this-week-up-next","Drake Compares Fake Friends to Bitcoin's Volatility: ‘Down This Week, Up Next’","Unknown Source","positive",0.5,"crypto","2025-07-05T16:57:49",True,50,75
"https://www.coindesk.com/markets/2025/07/05/floki-advances-blockchain-gaming-ambitions-with-valhalla-mainnet-launch-and-esports-partnership","FLOKI Advances Blockchain Gaming Ambitions With Valhalla Mainnet Launch and Esports Partnership","Unknown Source","positive",0.5,"crypto","2025-07-05T16:41:03",True,50,65